id,fecha,provincia,zona_prov,genero,edad,maximo_estudio,espacio_identificado,posibilidad_votar,opinion_gestion_alberto,opinion_gestion_kicillof,opinion_tolosapaz,opinion_manes,opinion_santilli,posibilidad_voto_tolosapaz,posibilidad_voto_santilli,posibilidad_voto_manes,intencion_voto_2021,intencion_voto_2021_otros,voto_emitido_2019,analisis_temporal,peso
1,6/10/2021 14:17,Buenos Aires,Zona Sur conurbano,Mujer,39,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,1,0,1.0,0.0,1.0,0.0,0.0,2.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
2,6/10/2021 14:10,Buenos Aires,Zona Sur conurbano,Mujer,67,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,2.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
3,6/10/2021 12:46,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,55,Superior,El peronismo,SEGURAMENTE iré a votar,1,1,1.0,1.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
4,6/10/2021 11:51,Buenos Aires,Zona Oeste conurbano,Hombre,57,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,1.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
5,6/10/2021 11:15,Buenos Aires,Zona Sur conurbano,Hombre,55,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,0.0,1.0,1.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
6,6/10/2021 11:01,Buenos Aires,Zona Oeste conurbano,Mujer,57,Superior,El PRO,SEGURAMENTE iré a votar,-1,-2,-1.0,1.0,1.0,-1.0,0.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
7,6/10/2021 10:52,Buenos Aires,Zona Norte conurbano,Hombre,67,Superior,Los libertarios,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,Avanza Libertad: José Luis Espert,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
8,6/10/2021 03:52,Buenos Aires,Zona Oeste conurbano,Mujer,66,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,0.0,2.0,1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
9,6/10/2021 03:05,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,68,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,1,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
10,6/10/2021 02:39,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,65,Primario,El Kirchnerismo,SEGURAMENTE iré a votar,1,2,1.0,1.0,-1.0,-1.0,-1.0,0.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
11,6/10/2021 01:46,Buenos Aires,Zona Norte conurbano,Mujer,67,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,0.0,2.0,2.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
12,6/10/2021 01:46,Buenos Aires,Zona Sur conurbano,Mujer,26,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
13,6/10/2021 00:42,Buenos Aires,Zona Norte conurbano,Mujer,62,Secundario,NINGUNO,SEGURAMENTE iré a votar,1,-2,0.0,1.0,1.0,0.0,-1.0,-1.0,Vamos con Vos: Florencio Randazzo,,No recuerdo,sem_6_(10/02-10/06),1
14,6/10/2021 00:23,Buenos Aires,Zona Oeste conurbano,Mujer,56,Superior,La Izquierda,SEGURAMENTE iré a votar,-1,-1,-1.0,-2.0,-2.0,-1.0,-1.0,2.0,FIT-U: Nicolás del Caño,,Fit: Nicolás del Caño,sem_6_(10/02-10/06),1
15,5/10/2021 23:55,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,70,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,-1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
16,5/10/2021 22:56,Buenos Aires,Zona Sur conurbano,Hombre,73,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,1.0,-1.0,0.0,0.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
17,5/10/2021 22:21,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,61,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
18,5/10/2021 22:19,Buenos Aires,Zona Sur conurbano,Mujer,60,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_6_(10/02-10/06),1
19,5/10/2021 21:55,Buenos Aires,Zona Norte conurbano,Mujer,66,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,0.0,1.0,2.0,0.0,0.0,0.0,Juntos: Facundo Manes,,No recuerdo,sem_6_(10/02-10/06),1
20,5/10/2021 21:54,Buenos Aires,Zona Norte conurbano,Hombre,78,Secundario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,2.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_6_(10/02-10/06),1
